NAME,PRODUCT URL,PRICE RANGE,REVIEWS,SUBCATAGORY
"UniBond AERO 360° Moisture Absorber Lavender Garden Refill Tab, aromatherapy, ultra…",https://www.amazon.co.uk/AERO-360%C2%B0-aromatherapy-ultra-absorbent-odour-neutralising/dp/B08JM944ZC/ref=zg_bs_1937992031_1?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,5.47 - 27.99,"12,476",Building Supplies
ANSIO Dehumidifier Pack of 5 x 500ml Condensation Remover Moisture Absorber…,https://www.amazon.co.uk/ANSIO-Interior-Dehumidifier-Condensation-Dehumidifiers/dp/B01C6V5IVG/ref=zg_bs_1937992031_2?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,6.49 - 114.97,"8,415",Building Supplies
"UniBond RE-NEW Cartridge, White Silicone Sealant for Sanitary Applications, One-Step Bathroom…",https://www.amazon.co.uk/Cartridge-Silicone-Applications-Waterproof-Resistance/dp/B08NXRF1P8/ref=zg_bs_1937992031_3?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,6.00 - 19.99,"4,229",Building Supplies
"Warmlite WL44002 Thermo Fan Heater with 2 Heat Settings and Overheat Protection, 2000 W,…",https://www.amazon.co.uk/Warmlite-Adjustable-Thermostat-Protection-1000-2000/dp/B006UJDGB0/ref=zg_bs_1937992031_4?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,12.99,"2,504",Building Supplies
"Everbuild Forever White Grout Reviver with Mould Shield, White, 200 ml",https://www.amazon.co.uk/Everbuild-FWREVIVE-200ml-Forever-Reviver/dp/B007D7T1B2/ref=zg_bs_1937992031_5?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,2.49 - 11.19,"2,657",Building Supplies
A1SONIC® 2 Brass Radiator Key - Radiator Bleed Key - Radiator Bleed Valve Key - Venting Air…,https://www.amazon.co.uk/A1SONIC%C2%AE-Brass-Radiator-Key-Venting/dp/B08FZR6LKT/ref=zg_bs_1937992031_6?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,4.99,"1,269",Building Supplies
"Fowong Adhesive Brush Weather Stripping, 4.9 m(L) x9 mm(W) x 5mm(T), High Density Felt…",https://www.amazon.co.uk/Adhesive-Weather-Stripping-Density-Wardrobe/dp/B081RL5D3W/ref=zg_bs_1937992031_7?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,11.99 - 12.99,"1,735",Building Supplies
"Vida Designs Chelsea Radiator Cover Modern Slatted Grill Slats White Painted MDF Cabinet,…",https://www.amazon.co.uk/Home-Discount-Chelsea-Radiator-Slatted/dp/B06X9T5CBL/ref=zg_bs_1937992031_8?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,32.95 - 53.95,"4,062",Building Supplies
"Warmlite WL44001 Thermo Fan Heater with 2 Heat Settings and Overheat Protection, 2000 W,…",https://www.amazon.co.uk/Warmlite-Adjustable-Thermostat-Protection-1000-2000/dp/B008XF8HBS/ref=zg_bs_1937992031_9?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,12.99,"1,720",Building Supplies
"UniBond AERO 360º Moisture Absorber, Ultra-Absorbent Dehumidifier, Helps to Prevent…",https://www.amazon.co.uk/AERO-Ultra-Absorbent-Dehumidifier-Condensation-Recyclable/dp/B08JMFHLRB/ref=zg_bs_1937992031_10?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,9.60,"2,174",Building Supplies
AUZKIN Dehumidifier 1000ML Portable Mini Electric Dehumidifier Ultra Quiet Air Cleaner for…,https://www.amazon.co.uk/FLASHVIN-Dehumidifier-Portable-Dehumidifiers-Wardrobe/dp/B07Z6F6PP7/ref=zg_bs_1937992031_11?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,39.99 - 50.99,"6,600",Building Supplies
Ronseal RSLMPWFN100G 100g Multi-Purpose Natural Wood Filler Tube,https://www.amazon.co.uk/Ronseal-RSLMPWFN100G-Multi-Purpose-Natural-Filler/dp/B001GU2BXM/ref=zg_bs_1937992031_12?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,2.99,"1,215",Building Supplies
A1SONIC® Gas Meter Box Key Triangular Gas Electric Utility Meter Box Key Black Plastic Key…,https://www.amazon.co.uk/A1SONIC%C2%AE-Triangular-Electric-Utility-Plastic/dp/B08PC367PX/ref=zg_bs_1937992031_13?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,2.99 - 5.99,65,Building Supplies
Linkax LED Torch LED Flashlight Adjustable Focus Handheld Flashlight Super Bright 800 Lumens…,https://www.amazon.co.uk/Linkax-Flashlight-Adjustable-Waterproof-Batteries/dp/B071GYJTST/ref=zg_bs_1937992031_14?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,9.99 - 25.99,"9,550",Building Supplies
"UniBond AERO 360º Moisture Absorber, Ultra-Absorbent Dehumidifier, Helps to Prevent…",https://www.amazon.co.uk/Moisture-ultra-absorbent-dehumidifier-condensation-refillable/dp/B00F1DNYPE/ref=zg_bs_1937992031_15?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,8.00 - 24.89,"11,569",Building Supplies
"TaoTronics Air Purifier for Home, Quiet Air Cleaner with True HEPA Filter, CADR 150 m³/h, 4 Speeds,…",https://www.amazon.co.uk/TaoTronics-Purifier-Cleaner-Filter-Allergens/dp/B0882VT6G7/ref=zg_bs_1937992031_16?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,59.49,"8,786",Building Supplies
Faithfull MP60 Paint Mixing Paddle,https://www.amazon.co.uk/Faithfull-MP60-Paint-Mixing-Paddle/dp/B003UGHZMM/ref=zg_bs_1937992031_17?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,4.32 - 23.77,868,Building Supplies
"Hive Active Heating Multi zone, Thermostat Only, No Installation",https://www.amazon.co.uk/Hive-Active-Heating-Multizone-Amazon/dp/B018E1SHQU/ref=zg_bs_1937992031_18?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,63.09 - 376.34,"6,473",Building Supplies
"Garage Shelving Units: 180cm x 120cm x 45cm | Heavy Duty Racking Shelves for Storage - 1 Bay,…",https://www.amazon.co.uk/Capacity-Garage-Storage-Shelving-Warranty/dp/B01A7JBFBG/ref=zg_bs_1937992031_19?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,36.99,"2,583",Building Supplies
"Everbeam H6 Pro LED Head Torch Headlamp, Motion Sensor Control, 650 Lumen Bright 30…",https://www.amazon.co.uk/Everbeam-Rechargeable-Waterproof-Headlight-Flashlight/dp/B086W26BKQ/ref=zg_bs_1937992031_20?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,16.99 - 29.99,"3,798",Building Supplies
Cuprinol 2.5L Anti Slip Decking Stain - American Mahogany,https://www.amazon.co.uk/Cuprinol-2-5L-Anti-Decking-Stain/dp/B0030FUGHE/ref=zg_bs_1937992031_21?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,16.38 - 54.63,"4,959",Building Supplies
GBL - Castor Wheels 50mm + Screws 200KG | 4 Moving Caster Wheels with Brake Heavy Duty…,https://www.amazon.co.uk/Castor-Castors-Casters-Furniture-Trolley/dp/B0791G1W7C/ref=zg_bs_1937992031_22?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,9.99 - 11.99,"5,342",Building Supplies
H&S LED Torch Super Bright CREE T6 Torch Zoomable Waterproof Flashlight Camping Light…,https://www.amazon.co.uk/Bright-Zoomable-Waterproof-Flashlight-Camping/dp/B018OMJGCS/ref=zg_bs_1937992031_23?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,7.99,"2,725",Building Supplies
"Google Nest Learning Thermostat, 3rd Generation, Black",https://www.amazon.co.uk/Google-Nest-T3029EX-Thermostat-Generation/dp/B077Y5W7DW/ref=zg_bs_1937992031_24?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,185.51 - 275.50,"4,953",Building Supplies
"MELEDEN Air Purifier for Home with Filters, 2020 Upgraded Design Low Noise Air…",https://www.amazon.co.uk/MELEDEN-Purifier-Filters-Upgraded-Purifiers%EF%BC%8CDesktop/dp/B083VWVKTJ/ref=zg_bs_1937992031_25?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,35.99,878,Building Supplies
RADSNAPS 2 x CHROME RADIATOR PIPE COVERS & 2 COLLARS,https://www.amazon.co.uk/RADSNAPS-CHROME-RADIATOR-COVERS-COLLARS/dp/B005C1MCYY/ref=zg_bs_1937992031_26?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,3.49,"3,327",Building Supplies
VicTsing 500ml Fragrance Essential Oil Diffuser for Aromatherapy with Adjustable Mist Modes…,https://www.amazon.co.uk/Essential-Diffusers-Aromatherapy-VicTsing-Humidifiers/dp/B017EF73MQ/ref=zg_bs_1937992031_27?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,29.99 - 31.99,"6,585",Building Supplies
Ellie-Bo Easy-Up 8 Piece Puppy Rabbit Play Pen 61cms High,https://www.amazon.co.uk/Ellie-Bo-Easy-Up-Rabbit-Silver-8-Piece/dp/B00IYQQWIG/ref=zg_bs_1937992031_28?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,24.95 - 33.95,"2,846",Building Supplies
"Pro Breeze Dehumidifier 500ml Compact and Portable Mini Air Dehumidifier for Damp, Mould,…",https://www.amazon.co.uk/Pro-Breeze-Portable-Dehumidifier-Moisture/dp/B00NFRTVY6/ref=zg_bs_1937992031_29?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,44.99,"14,633",Building Supplies
RUNACC LED Work Light Rechargeable Folding Flood Light 20W 1500LM Portable Outdoor…,https://www.amazon.co.uk/RUNACC-Rechargeable-Folding-Portable-Rotatation/dp/B07XYQB1CF/ref=zg_bs_1937992031_30?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,33.95,"2,790",Building Supplies
Folding Aluminium Industrial Hand Trolley - With Anti Puncture Tyres and 100KG Load Capacity…,https://www.amazon.co.uk/Folding-Aluminium-Industrial-Hand-Trolley/dp/B07JGJVSST/ref=zg_bs_1937992031_31?_encoding=UTF8&psc=1&refRID=8SYA95RNQ9WQ520XYKNZ,32.99 - 64.63,"2,834",Building Supplies
