NAME,PRODUCT URL,PRICE RANGE,REVIEWS,SUBCATAGORY
"Sistema Twist 'n' Sip BPA Free Water Bottle, 460 ml - Blue and Pink",https://www.amazon.co.uk/Sistema-Hydrate-Twist-Water-Bottle/dp/B01FFZZN9C/ref=zg_bs_319545011_1?_encoding=UTF8&psc=1&refRID=QPP8XPVCD4Y89C42X8XE,1.50 - 9.99,318,"Camping, Hiking & Mountaineering"
"HYDRATE XL Jug 2.2 Litre Water Bottle - BPA Free, Flip Cap, Ideal for Gym - Colour Options",https://www.amazon.co.uk/Hydrate-2-2-Litre-Water-Bottle/dp/B01MU5YPGI/ref=zg_bs_319545011_2?_encoding=UTF8&psc=1&refRID=QPP8XPVCD4Y89C42X8XE,11.99 - 20.00,"6,765","Camping, Hiking & Mountaineering"
Black Reusable Face Mask UK from Hero Mask | 3 Layers of Blended Cotton | Reusable Red Face…,https://www.amazon.co.uk/Reusable-Mask-Hero-Blended-Quality/dp/B08LQ58D6G/ref=zg_bs_319545011_3?_encoding=UTF8&psc=1&refRID=QPP8XPVCD4Y89C42X8XE,4.99 - 17.99,491,"Camping, Hiking & Mountaineering"
Polma Cooling Neck Gaiter Face Mask - Breathable Lightweight Dust & UV Sun-Protection Bandanas…,https://www.amazon.co.uk/Polma-Cooling-Neck-Gaiter-Face/dp/B08GCKDYJ8/ref=zg_bs_319545011_4?_encoding=UTF8&psc=1&refRID=QPP8XPVCD4Y89C42X8XE,10.99,860,"Camping, Hiking & Mountaineering"
"WinterWise® 10-STUD Ice Snow Grips, Anti Slip Winter Ice Grippers Universal Slip-on Stretch fit…",https://www.amazon.co.uk/WinterWise-10-STUD-Traction-Universal-Crampons/dp/B0061MZZLK/ref=zg_bs_319545011_5?_encoding=UTF8&psc=1&refRID=QPP8XPVCD4Y89C42X8XE,2.99 - 9.99,"1,091","Camping, Hiking & Mountaineering"
TRENDOUX Thermal Winter Touch Screen Gloves Men Women - Anti-slip Grip - Elastic Cuff - Warm…,https://www.amazon.co.uk/Driving-Gloves-TRENDOUX-Thermal-Smartphone/dp/B07WG3C4MW/ref=zg_bs_319545011_6?_encoding=UTF8&psc=1&refRID=QPP8XPVCD4Y89C42X8XE,10.99 - 12.99,"16,193","Camping, Hiking & Mountaineering"
E FAST CE4 - 3 x Large bbq Lighters Refillable Safety Gas Candle BBQ Fire Lighter,https://www.amazon.co.uk/Lighters-Refillable-Safety-Candle-Lighter/dp/B01HJXXYNK/ref=zg_bs_319545011_7?_encoding=UTF8&psc=1&refRID=QPP8XPVCD4Y89C42X8XE,4.2,"7,078","Camping, Hiking & Mountaineering"
HOTHANDS Hand Warmers - 5 Pairs - 10 hours of heat - Air activated - Ready to use,https://www.amazon.co.uk/HOTHANDS-Hand-Warmers-Pairs-activated/dp/B08GCT8SXZ/ref=zg_bs_319545011_8?_encoding=UTF8&psc=1&refRID=QPP8XPVCD4Y89C42X8XE,3.99,829,"Camping, Hiking & Mountaineering"
"Rumsfel Neck Warmer Snoods for Men & Women, Neck Gaiter Tube, Multifunctional Winter Face…",https://www.amazon.co.uk/Rumsfel-Multifunctional-Breathable-Motorcycle-Cycling/dp/B08D6QH6NP/ref=zg_bs_319545011_9?_encoding=UTF8&psc=1&refRID=QPP8XPVCD4Y89C42X8XE,10.99 - 19.99,"1,597","Camping, Hiking & Mountaineering"
"OMERIL LED Head Torch, Lightweight COB Headlamp with 3 Modes, IPX4 Waterproof, Super…",https://www.amazon.co.uk/OMERIL-Lightweight-Waterproof-Headlight-Batteries/dp/B07CM41Q18/ref=zg_bs_319545011_10?_encoding=UTF8&psc=1&refRID=QPP8XPVCD4Y89C42X8XE,6.99,"10,949","Camping, Hiking & Mountaineering"
